id,name,img,img_local,fk
1,东方明珠,https://dimg04.c-ctrip.com/images/010691200097uy8rk36FE_R_228_10000.jpg,010691200097uy8rk36FE_R_228_10000.jpg,aebf69c6-2633-4a11-bd6c-dc71e13dfeae
2,东方明珠,https://dimg04.c-ctrip.com/images/0105a120009i3g4xgE014_R_228_10000.jpg,0105a120009i3g4xgE014_R_228_10000.jpg,aebf69c6-2633-4a11-bd6c-dc71e13dfeae
3,东方明珠,https://dimg04.c-ctrip.com/images/0104t120009i3g5v767BE_R_228_10000.jpg,0104t120009i3g5v767BE_R_228_10000.jpg,aebf69c6-2633-4a11-bd6c-dc71e13dfeae
4,东方明珠,https://dimg04.c-ctrip.com/images/100s0f0000007i4q0E47E_R_228_10000.jpg,100s0f0000007i4q0E47E_R_228_10000.jpg,aebf69c6-2633-4a11-bd6c-dc71e13dfeae
5,东方明珠,https://dimg04.c-ctrip.com/images/0105r120009zodr8k02C9_R_228_10000.jpg,0105r120009zodr8k02C9_R_228_10000.jpg,aebf69c6-2633-4a11-bd6c-dc71e13dfeae
6,东方明珠,https://dimg04.c-ctrip.com/images/0102o120009zodv1nB86B_R_228_10000.jpg,0102o120009zodv1nB86B_R_228_10000.jpg,aebf69c6-2633-4a11-bd6c-dc71e13dfeae
7,东方明珠,https://dimg04.c-ctrip.com/images/0106t120009zodl1y102B_R_228_10000.jpg,0106t120009zodl1y102B_R_228_10000.jpg,aebf69c6-2633-4a11-bd6c-dc71e13dfeae
8,东方明珠,https://dimg04.c-ctrip.com/images/0104v120009zodr8jDE09_R_228_10000.jpg,0104v120009zodr8jDE09_R_228_10000.jpg,aebf69c6-2633-4a11-bd6c-dc71e13dfeae
9,东方明珠,https://dimg04.c-ctrip.com/images/0102p120009zodsrf9D7C_R_228_10000.jpg,0102p120009zodsrf9D7C_R_228_10000.jpg,aebf69c6-2633-4a11-bd6c-dc71e13dfeae
10,东方明珠,https://dimg04.c-ctrip.com/images/0102o120009zodmx5E1A6_R_228_10000.jpg,0102o120009zodmx5E1A6_R_228_10000.jpg,aebf69c6-2633-4a11-bd6c-dc71e13dfeae
11,外滩,https://dimg04.c-ctrip.com/images/10040m000000dht6p0F19_R_228_10000.jpg,10040m000000dht6p0F19_R_228_10000.jpg,735a4ace-6dbb-4536-96da-ab9fb60ea5c6
12,外滩,https://dimg04.c-ctrip.com/images/100h0z000000mkjxn58E1_R_228_10000.jpg,100h0z000000mkjxn58E1_R_228_10000.jpg,735a4ace-6dbb-4536-96da-ab9fb60ea5c6
13,外滩,https://dimg04.c-ctrip.com/images/100o0b0000005bxej3E7E_R_228_10000.jpg,100o0b0000005bxej3E7E_R_228_10000.jpg,735a4ace-6dbb-4536-96da-ab9fb60ea5c6
14,外滩,https://dimg04.c-ctrip.com/images/100c0u000000jjrxyD76A_R_228_10000.jpg,100c0u000000jjrxyD76A_R_228_10000.jpg,735a4ace-6dbb-4536-96da-ab9fb60ea5c6
15,外滩,https://dimg04.c-ctrip.com/images/100n0i0000009natg9924_R_228_10000.jpg,100n0i0000009natg9924_R_228_10000.jpg,735a4ace-6dbb-4536-96da-ab9fb60ea5c6
16,外滩,https://dimg04.c-ctrip.com/images/0106k12000aeusqz566C3_R_228_10000.jpg,0106k12000aeusqz566C3_R_228_10000.jpg,735a4ace-6dbb-4536-96da-ab9fb60ea5c6
17,外滩,https://dimg04.c-ctrip.com/images/01038120006d693ko385C_R_228_10000.jpg,01038120006d693ko385C_R_228_10000.jpg,735a4ace-6dbb-4536-96da-ab9fb60ea5c6
18,外滩,https://dimg04.c-ctrip.com/images/0105d12000833yvm21757_R_228_10000.jpg,0105d12000833yvm21757_R_228_10000.jpg,735a4ace-6dbb-4536-96da-ab9fb60ea5c6
19,外滩,https://dimg04.c-ctrip.com/images/0100112000833yw5b0026_R_228_10000.jpg,0100112000833yw5b0026_R_228_10000.jpg,735a4ace-6dbb-4536-96da-ab9fb60ea5c6
20,外滩,https://dimg04.c-ctrip.com/images/0101t12000833yy5n5E8D_R_228_10000.jpg,0101t12000833yy5n5E8D_R_228_10000.jpg,735a4ace-6dbb-4536-96da-ab9fb60ea5c6
21,上海迪士尼度假区,https://dimg04.c-ctrip.com/images/01055120008ji2uc75021_R_228_10000.jpg,01055120008ji2uc75021_R_228_10000.jpg,bfacf90a-b305-4226-8bf1-956c49926833
22,上海迪士尼度假区,https://dimg04.c-ctrip.com/images/100h0p000000fhsv75457_R_228_10000.jpg,100h0p000000fhsv75457_R_228_10000.jpg,bfacf90a-b305-4226-8bf1-956c49926833
23,上海迪士尼度假区,https://dimg04.c-ctrip.com/images/100h050000000m88w1495_R_228_10000.jpg,100h050000000m88w1495_R_228_10000.jpg,bfacf90a-b305-4226-8bf1-956c49926833
24,上海迪士尼度假区,https://dimg04.c-ctrip.com/images/100h0q000000gehggB658_R_228_10000.jpg,100h0q000000gehggB658_R_228_10000.jpg,bfacf90a-b305-4226-8bf1-956c49926833
25,上海迪士尼度假区,https://dimg04.c-ctrip.com/images/0101u120008t4zqr046E3_R_228_10000.jpg,0101u120008t4zqr046E3_R_228_10000.jpg,bfacf90a-b305-4226-8bf1-956c49926833
26,上海迪士尼度假区,https://dimg04.c-ctrip.com/images/1lo6812000bcvibsk45C8_R_228_10000.jpg,1lo6812000bcvibsk45C8_R_228_10000.jpg,bfacf90a-b305-4226-8bf1-956c49926833
27,上海迪士尼度假区,https://dimg04.c-ctrip.com/images/1lo3712000bcvi4vi9A9C_R_228_10000.jpg,1lo3712000bcvi4vi9A9C_R_228_10000.jpg,bfacf90a-b305-4226-8bf1-956c49926833
28,上海迪士尼度假区,https://dimg04.c-ctrip.com/images/1lo7012000bcvi2eu801C_R_228_10000.jpg,1lo7012000bcvi2eu801C_R_228_10000.jpg,bfacf90a-b305-4226-8bf1-956c49926833
29,上海迪士尼度假区,https://dimg04.c-ctrip.com/images/0102s12000a7mfh64D771_R_228_10000.jpg,0102s12000a7mfh64D771_R_228_10000.jpg,bfacf90a-b305-4226-8bf1-956c49926833
30,上海迪士尼度假区,https://dimg04.c-ctrip.com/images/0103v12000a7mfldz4424_R_228_10000.jpg,0103v12000a7mfldz4424_R_228_10000.jpg,bfacf90a-b305-4226-8bf1-956c49926833
31,上海之巅观光厅,https://dimg04.c-ctrip.com/images/10070d0000006wasz1009_R_228_10000.jpg,10070d0000006wasz1009_R_228_10000.jpg,8ad819d6-4b99-428a-9edc-212ca02711c4
